task,family,config,score_metric,score
multi_output_regression,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",pressure_r2,0.209004
multi_output_regression,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",pressure_r2,0.206916
multi_output_regression,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",pressure_r2,0.203065
multi_output_regression,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",pressure_r2,0.201844
multi_output_regression,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",pressure_r2,0.201668
multi_output_regression,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",pressure_r2,0.19802
multi_output_regression,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",pressure_r2,0.186493
multi_output_regression,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",pressure_r2,0.178576
multi_output_regression,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",pressure_r2,0.176687
multi_output_regression,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",pressure_r2,0.161386
multi_output_regression,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",pressure_r2,0.154752
multi_output_regression,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",pressure_r2,-3.2e-05
multi_output_regression,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",pressure_r2,-0.000337
multi_output_regression,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",pressure_r2,-0.001273
temperature_regression,pytorch-advanced,adv_residual_wide,test_r2,0.752036
temperature_regression,pytorch-advanced,adv_residual,test_r2,0.74929
temperature_regression,pytorch-advanced,adv_best_combo,test_r2,0.748703
temperature_regression,pytorch-advanced,adv_wider,test_r2,0.74626
temperature_regression,pytorch-advanced,adv_warmup_cosine,test_r2,0.744506
temperature_regression,pytorch-advanced,adv_huber,test_r2,0.738325
temperature_regression,pytorch-standard,pt_adamw,test_r2,0.748625
temperature_regression,pytorch-standard,pt_scheduler_plateau,test_r2,0.747974
temperature_regression,pytorch-standard,pt_baseline,test_r2,0.747962
temperature_regression,pytorch-standard,pt_batchnorm,test_r2,0.747462
temperature_regression,pytorch-standard,pt_scheduler_cosine,test_r2,0.746984
temperature_regression,pytorch-standard,pt_sgd_momentum,test_r2,0.743962
temperature_regression,pytorch-standard,pt_bn_dropout,test_r2,0.742322
temperature_regression,pytorch-standard,pt_full_modern,test_r2,0.738491
temperature_regression,pytorch-standard,pt_dropout_02,test_r2,0.738435
temperature_regression,pytorch-standard,pt_dropout_04,test_r2,0.717495
temperature_regression,scratch-layers,scratch_temp_residual_128x2,val_r2,0.725996
temperature_regression,scratch-layers,scratch_temp_flex_256_128_64,val_r2,0.723149
temperature_regression,scratch-layers,scratch_temp_flex_128_64,val_r2,0.714586
temperature_regression,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",r2,0.73211
temperature_regression,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",r2,0.730551
temperature_regression,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",r2,0.728414
temperature_regression,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",r2,0.727887
temperature_regression,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",r2,0.727168
temperature_regression,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",r2,0.727082
temperature_regression,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",r2,0.727007
temperature_regression,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",r2,0.726801
temperature_regression,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",r2,0.726774
temperature_regression,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",r2,0.726603
temperature_regression,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",r2,0.726483
temperature_regression,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",r2,0.723102
temperature_regression,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",r2,0.722418
temperature_regression,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",r2,0.719058
temperature_regression,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",r2,0.718457
weather_classification,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",auc_score,0.709709
weather_classification,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",auc_score,0.654068
weather_classification,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",auc_score,0.651434
weather_classification,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",auc_score,0.631949
weather_classification,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",auc_score,0.631625
weather_classification,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",auc_score,0.627354
weather_classification,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",auc_score,0.622279
weather_classification,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",auc_score,0.621468
weather_classification,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",auc_score,0.620157
weather_classification,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",auc_score,0.612195
weather_classification,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",auc_score,0.609576
weather_classification,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",auc_score,0.603718
weather_classification,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",auc_score,0.603668
weather_classification,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",auc_score,0.501536
weather_classification,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",auc_score,0.49985
wind_forecasting,pytorch-standard,pt_scheduler_cosine,val_r2,0.956552
wind_forecasting,pytorch-standard,pt_baseline,val_r2,0.956439
wind_forecasting,pytorch-standard,pt_scheduler_plateau,val_r2,0.956427
wind_forecasting,pytorch-standard,pt_full_modern,val_r2,0.956344
wind_forecasting,pytorch-standard,pt_adamw,val_r2,0.956331
wind_forecasting,pytorch-standard,pt_sgd_momentum,val_r2,0.955246
wind_forecasting,pytorch-standard,pt_dropout_02,val_r2,0.955195
wind_forecasting,pytorch-standard,pt_dropout_04,val_r2,0.954682
wind_forecasting,pytorch-standard,pt_bn_dropout,val_r2,0.950839
wind_forecasting,pytorch-standard,pt_batchnorm,val_r2,0.947081
wind_forecasting,scratch-layers,scratch_wind_flex_256_128,val_r2,0.956077
wind_forecasting,scratch-layers,scratch_wind_residual_128x2,val_r2,0.949859
wind_forecasting,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",r2,0.971094
wind_forecasting,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",r2,0.971042
wind_forecasting,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",r2,0.970946
wind_forecasting,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",r2,0.970887
wind_forecasting,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",r2,0.970739
wind_forecasting,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",r2,0.970638
wind_forecasting,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",r2,0.970584
wind_forecasting,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",r2,0.970579
wind_forecasting,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",r2,0.970555
wind_forecasting,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",r2,0.970523
wind_forecasting,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",r2,0.970411
wind_forecasting,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",r2,0.970371
wind_forecasting,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",r2,0.970303
wind_forecasting,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",r2,0.970011
wind_forecasting,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",r2,0.969809
